id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
1,TripsCreatedByDayReport,,false,2014-07-09 21:57:31.369899,2014-07-09 21:57:31.369899,en,Trips Created Report,false,false,false
3,TripsScheduledByDayReport,,false,2014-07-09 21:57:31.42595,2014-07-09 21:57:31.42595,en,Trips Scheduled Report,false,false,false
5,InvalidTripsReport,,false,2014-07-09 21:57:31.480055,2014-07-09 21:57:31.480055,en,Failed Trips Report,false,false,false
7,RejectedTripsReport,,false,2014-07-09 21:57:31.517399,2014-07-09 21:57:31.517399,en,Rejected Trips Report,false,false,false
9,TripsBreakdownReport,,false,2014-07-09 21:57:31.571304,2014-07-09 21:57:31.571304,en,Trips Planned Report,false,false,false
11,TripsDetailsReport,,false,2014-07-09 21:57:31.607388,2014-07-09 21:57:31.607388,en,Trips Details Report,false,false,false
15,trip_status_new_name,,false,2014-07-09 21:57:32.119706,2014-07-09 21:57:32.119706,en,New,false,false,false
17,trip_status_in_progress_name,,false,2014-07-09 21:57:32.160426,2014-07-09 21:57:32.160426,en,In Progress,false,false,false
19,trip_status_completed_name,,false,2014-07-09 21:57:32.194378,2014-07-09 21:57:32.194378,en,Completed,false,false,false
21,trip_status_errored_name,,false,2014-07-09 21:57:32.254591,2014-07-09 21:57:32.254591,en,Errored,false,false,false
23,relationship_status_requested_name,,false,2014-07-09 21:57:32.315065,2014-07-09 21:57:32.315065,en,Requested,false,false,false
25,relationship_status_pending_name,,false,2014-07-09 21:57:32.358362,2014-07-09 21:57:32.358362,en,Pending,false,false,false
27,relationship_status_confirmed_name,,false,2014-07-09 21:57:32.39659,2014-07-09 21:57:32.39659,en,Confirmed,false,false,false
29,relationship_status_denied_name,,false,2014-07-09 21:57:32.451857,2014-07-09 21:57:32.451857,en,Denied,false,false,false
31,relationship_status_revoked_name,,false,2014-07-09 21:57:32.486781,2014-07-09 21:57:32.486781,en,Revoked,false,false,false
33,relationship_status_hidden_name,,false,2014-07-09 21:57:32.520114,2014-07-09 21:57:32.520114,en,Hidden,false,false,false
41,mode_bicycle_name,,false,2014-07-09 21:57:32.693432,2014-07-09 21:57:32.693432,en,Bike,false,false,false
