id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
1,TripsCreatedByDayReport,,FALSE,57:31.4,57:31.4,en,Trips Created Report,FALSE,FALSE,FALSE
3,TripsScheduledByDayReport,,FALSE,57:31.4,57:31.4,en,Trips Scheduled Report,FALSE,FALSE,FALSE
5,InvalidTripsReport,,FALSE,57:31.5,57:31.5,en,Failed Trips Report,FALSE,FALSE,FALSE
7,RejectedTripsReport,,FALSE,57:31.5,57:31.5,en,Rejected Trips Report,FALSE,FALSE,FALSE
9,TripsBreakdownReport,,FALSE,57:31.6,57:31.6,en,Trips Planned Report,FALSE,FALSE,FALSE
11,TripsDetailsReport,,FALSE,57:31.6,57:31.6,en,Trips Details Report,FALSE,FALSE,FALSE
15,trip_status_new_name,,FALSE,57:32.1,57:32.1,en,New,FALSE,FALSE,FALSE
17,trip_status_in_progress_name,,FALSE,57:32.2,57:32.2,en,In Progress,FALSE,FALSE,FALSE
19,trip_status_completed_name,,FALSE,57:32.2,57:32.2,en,Completed,FALSE,FALSE,FALSE
21,trip_status_errored_name,,FALSE,57:32.3,57:32.3,en,Errored,FALSE,FALSE,FALSE
23,relationship_status_requested_name,,FALSE,57:32.3,57:32.3,en,Requested,FALSE,FALSE,FALSE
25,relationship_status_pending_name,,FALSE,57:32.4,57:32.4,en,Pending,FALSE,FALSE,FALSE
27,relationship_status_confirmed_name,,FALSE,57:32.4,57:32.4,en,Confirmed,FALSE,FALSE,FALSE
29,relationship_status_denied_name,,FALSE,57:32.5,57:32.5,en,Denied,FALSE,FALSE,FALSE
31,relationship_status_revoked_name,,FALSE,57:32.5,57:32.5,en,Revoked,FALSE,FALSE,FALSE
33,relationship_status_hidden_name,,FALSE,57:32.5,57:32.5,en,Hidden,FALSE,FALSE,FALSE
41,mode_bicycle_name,,FALSE,57:32.7,57:32.7,en,Bike,FALSE,FALSE,FALSE
43,mode_bikeshare_name,,FALSE,57:32.7,57:32.7,en,Bikeshare,FALSE,FALSE,FALSE
45,mode_car_name,,FALSE,57:32.8,57:32.8,en,Drive,FALSE,FALSE,FALSE
47,mode_walk_name,,FALSE,57:32.8,57:32.8,en,Walk,FALSE,FALSE,FALSE
49,mode_bus_name,,FALSE,57:33.0,57:33.0,en,Bus,FALSE,FALSE,FALSE
51,mode_rail_name,,FALSE,57:33.0,57:33.0,en,Rail,FALSE,FALSE,FALSE
53,mode_bike_park_transit_name,,FALSE,57:33.0,57:33.0,en,Bike and Ride,FALSE,FALSE,FALSE
55,mode_car_transit_name,,FALSE,57:33.1,57:33.1,en,Kiss and Ride,FALSE,FALSE,FALSE
57,mode_park_transit_name,,FALSE,57:33.1,57:33.1,en,Park and Ride,FALSE,FALSE,FALSE
59,mode_bike_transit_name,,FALSE,57:33.2,57:33.2,en,Bicycle & Transit,FALSE,FALSE,FALSE
61,date_option_all_name,,FALSE,57:33.3,57:33.3,en,All,FALSE,FALSE,FALSE
63,date_option_past_name,,FALSE,57:33.5,57:33.5,en,Past,FALSE,FALSE,FALSE
65,date_option_future_name,,FALSE,57:33.5,57:33.5,en,Future,FALSE,FALSE,FALSE
67,date_option_last_7_days_name,,FALSE,57:33.6,57:33.6,en,Last 7 Days,FALSE,FALSE,FALSE
69,date_option_next_7_days_name,,FALSE,57:33.6,57:33.6,en,Next 7 Days,FALSE,FALSE,FALSE
71,date_option_last_30_days_name,,FALSE,57:33.7,57:33.7,en,Last 30 Days,FALSE,FALSE,FALSE
73,date_option_next_30_days_name,,FALSE,57:33.7,57:33.7,en,Next 30 Days,FALSE,FALSE,FALSE
75,date_option_last_month_name,,FALSE,57:33.7,57:33.7,en,Last Month,FALSE,FALSE,FALSE
37,mode_taxi_name,,FALSE,57:32.6,46:12.0,en,Vehicle for Hire,FALSE,FALSE,FALSE
14,mode_transit_name,,FALSE,57:32.1,18:34.8,es,Transporte PÌ¼blico,FALSE,FALSE,FALSE
13,mode_transit_name,,FALSE,57:32.0,46:47.2,en,Public Transit,FALSE,FALSE,FALSE
46,mode_car_name,,FALSE,57:32.8,59:02.4,es,Conduciendo,FALSE,FALSE,FALSE
62,date_option_all_name,,FALSE,57:33.5,08:15.8,es,Todos,FALSE,FALSE,FALSE
66,date_option_future_name,,FALSE,57:33.5,08:56.4,es,Futuro,FALSE,FALSE,FALSE
72,date_option_last_30_days_name,,FALSE,57:33.7,10:14.2,es,Ì_ltimos 30 DÌ_as,FALSE,FALSE,FALSE
68,date_option_last_7_days_name,,FALSE,57:33.6,10:50.1,es,Ì_ltimos 7 DÌ_as,FALSE,FALSE,FALSE
74,date_option_next_30_days_name,,FALSE,57:33.7,12:46.9,es,Los prÌ_ximos 30 dÌ_as,FALSE,FALSE,FALSE
