id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
1,TripsCreatedByDayReport,,false,2014-07-09 08:28:39.175432,2014-07-09 08:28:39.175432,en,Trips Created Report,false,false,false
2667,mode_transit_name,,false,,,es,Transporte Público,false,false,false
3,TripsScheduledByDayReport,,false,2014-07-09 08:28:39.213992,2014-07-09 08:28:39.213992,en,Trips Scheduled Report,false,false,false
2668,mode_car_name,,false,,,es,Conduciendo,false,false,false
5,InvalidTripsReport,,false,2014-07-09 08:28:39.249322,2014-07-09 08:28:39.249322,en,Failed Trips Report,false,false,false
2669,date_option_all_name,,false,,,es,Todos,false,false,false
7,RejectedTripsReport,,false,2014-07-09 08:28:39.283969,2014-07-09 08:28:39.283969,en,Rejected Trips Report,false,false,false
2670,date_option_future_name,,false,,,es,Futuro,false,false,false
9,TripsBreakdownReport,,false,2014-07-09 08:28:39.317068,2014-07-09 08:28:39.317068,en,Trips Planned Report,false,false,false
2671,date_option_last_30_days_name,,false,,,es,Últimos 30 Días,false,false,false
11,TripsDetailsReport,,false,2014-07-09 08:28:39.36867,2014-07-09 08:28:39.36867,en,Trips Details Report,false,false,false
2672,date_option_last_7_days_name,,false,,,es,Últimos 7 Días,false,false,false
13,mode_transit_name,,false,2014-07-09 08:28:39.684223,2014-07-09 08:28:39.684223,en,Transit,false,false,false
2673,date_option_next_30_days_name,,false,,,es,Los próximos 30 días,false,false,false
15,trip_status_new_name,,false,2014-07-09 08:28:39.793836,2014-07-09 08:28:39.793836,en,New,false,false,false
2674,date_option_next_7_days_name,,false,,,es,Los próximos 7 días,false,false,false
17,trip_status_in_progress_name,,false,2014-07-09 08:28:39.833509,2014-07-09 08:28:39.833509,en,In Progress,false,false,false
2675,date_option_past_name,,false,,,es,Pasado,false,false,false
19,trip_status_completed_name,,false,2014-07-09 08:28:39.866209,2014-07-09 08:28:39.866209,en,Completed,false,false,false
2676,mode_bicycle_name,,false,,,es,Bicicleta,false,false,false
21,trip_status_errored_name,,false,2014-07-09 08:28:39.900059,2014-07-09 08:28:39.900059,en,Errored,false,false,false
